ticker,year_from,year_to,word_count_change_pct,text_similarity,text_change_score,excess_volatility
M,2019,2020,18.725943033102386,0.9702399965347748,0.029760003465225227,0.8606951363746274
M,2020,2021,14.135192089479656,0.9477196966907131,0.0522803033092869,0.42010116491657934
M,2021,2022,8.691947166595654,0.9593650768954328,0.04063492310456718,0.4636404017025929
M,2022,2023,17.653207892329807,0.9499739694426154,0.05002603055738464,0.38746647607401513
ORLY,2019,2020,3.2801685224195007,0.9765087151253503,0.023491284874649687,0.15278903391188037
ORLY,2020,2021,18.560606060606062,0.9484214205870801,0.05157857941291988,0.026079139721720157
ORLY,2021,2022,5.971983288277218,0.9891132996523648,0.01088670034763517,0.15770757983494793
ORLY,2022,2023,6.354359925788497,0.9562967126306772,0.04370328736932283,0.025949272227656223
RH,2019,2020,15.362251961236733,0.9786195447780976,0.02138045522190235,0.621669303805904
RH,2020,2021,3.656146245849834,0.9836518454075434,0.016348154592456643,0.3526944469865809
RH,2021,2022,-22.347856288349476,0.9839214143751626,0.016078585624837438,0.3957094956296948
RH,2022,2023,-15.207235861246396,0.9684544176899089,0.03154558231009108,0.26866510664166066
ROST,2019,2020,16.75785207700101,0.938942363710576,0.061057636289423955,0.3146357340401895
ROST,2020,2021,14.682401943769523,0.9690274445793265,0.030972555420673453,0.14239037942630736
ROST,2021,2022,-1.104721549636804,0.9844177998659066,0.015582200134093394,0.3553160679283884
ROST,2022,2023,-4.8201989288446825,0.9854190086263489,0.014580991373651098,0.08218486623243033
TGT,2019,2020,5.824728620598359,0.9783574366495087,0.021642563350491306,0.027870808865493424
TGT,2020,2021,20.94070552914686,0.9311155815803047,0.06888441841969528,0.11282432682223416
TGT,2021,2022,0.33098882912701694,0.9662379991969123,0.033762000803087666,0.37102151036858355
TGT,2022,2023,-10.721649484536082,0.8925997093043309,0.10740029069566914,0.129757833061495
TJX,2019,2020,8.646204439572486,0.9858035501789325,0.014196449821067492,0.25237620778896125
TJX,2020,2021,9.433724303190818,0.9783991038719072,0.021600896128092795,0.12176938601297839
TJX,2021,2022,3.918404978679267,0.9889275041080822,0.011072495891917833,0.1198813498755355
TJX,2022,2023,2.439835865587224,0.9902582394850789,0.00974176051492115,0.037971815859724325
URBN,2019,2020,11.105594174114533,0.9695854548965261,0.030414545103473856,0.6266271489831822
URBN,2020,2021,3.0388797854908387,0.9771521063331753,0.022847893666824715,0.38663018809296784
URBN,2021,2022,0.9107994795431544,0.9783251252787515,0.021674874721248516,0.3354001718250129
URBN,2022,2023,3.2091690544412605,0.9869040297573602,0.013095970242639754,0.40415827956077477
W,2019,2020,6.203784935455571,0.9954665777967735,0.0045334222032265,1.305457636413117
W,2020,2021,10.84493745574699,0.9767061656440883,0.023293834355911702,0.52196795903873
W,2021,2022,0.17033961460662195,0.9881475723405806,0.011852427659419407,0.8310056618326152
W,2022,2023,0.8502497608672548,0.9797866355637324,0.020213364436267645,0.5619185100292539
WMT,2019,2020,6.824693930711123,0.9808829918081324,0.01911700819186757,-0.12054574474800461
WMT,2020,2021,16.886125335284078,0.9708498325040748,0.02915016749592525,0.021531984053184336
WMT,2021,2022,11.995410451653282,0.9883013217455564,0.011698678254443595,0.07201561700017978
WMT,2022,2023,6.798919623731023,0.9808098884868579,0.019190111513142094,-0.01395739888470432
WSM,2019,2020,16.927659574468084,0.9724352877455797,0.027564712254420254,0.4379921178600766
WSM,2020,2021,9.644078899483223,0.98531566069253,0.01468433930747004,0.2580419566719264
WSM,2021,2022,-4.255177907594264,0.9912303974252531,0.008769602574746904,0.3797040229218652
WSM,2022,2023,2.2949455730430564,0.9910817383238192,0.008918261676180816,0.21203690058331737
