ticker,filing_year,risk_text_length,realized_volatility,excess_volatility
URBN,2019,40217,0.37659009941727334,0.2608770707334621
URBN,2020,44877,0.9488041577393165,0.6266271489831822
URBN,2021,46526,0.4997641149256664,0.38663018809296784
URBN,2022,46923,0.6253348700649548,0.3354001718250129
URBN,2023,48635,0.5232587715053837,0.40415827956077477
W,2019,104379,0.38409725904664055,0.2738644811279585
W,2020,111025,1.9345813282106414,1.305457636413117
W,2021,123450,0.6666819195738536,0.52196795903873
W,2022,123727,1.0968531485415962,0.8310056618326152
W,2023,125030,0.7080210980782754,0.5619185100292539
WBA,2019,114901,,
WBA,2020,124941,,
WBA,2021,83124,,
WBA,2022,99054,,
WBA,2023,111337,,
WMT,2019,51644,0.1319609622846202,0.015270162103111676
WMT,2020,55287,0.2853631407820957,-0.12054574474800461
WMT,2021,64767,0.13615426654304774,0.021531984053184336
WMT,2022,72857,0.3439170925980669,0.07201561700017978
WMT,2023,78308,0.11251742722463634,-0.01395739888470432
WSM,2019,77401,0.3995243579101705,0.283110972122528
WSM,2020,90799,0.7630650639298202,0.4379921178600766
WSM,2021,99670,0.37296028278808613,0.2580419566719264
WSM,2022,95148,0.6610350121424835,0.3797040229218652
WSM,2023,97669,0.3329258421732579,0.21203690058331737
